Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Female,disloyal Customer,54,Business travel,Eco,375,3,0,3,3,4,3,4,4,5,1,5,1,3,4,9,0.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,1865,3,3,3,3,2,5,5,5,5,5,5,3,5,4,0,0.0,satisfied
Male,Loyal Customer,44,Personal Travel,Eco,633,3,5,3,4,3,3,3,3,5,3,4,4,5,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,61,Personal Travel,Eco,106,2,4,2,2,1,2,1,1,4,2,5,4,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,22,Personal Travel,Eco Plus,1471,4,5,4,3,5,4,5,5,3,5,4,4,4,5,0,12.0,neutral or dissatisfied
Male,Loyal Customer,21,Personal Travel,Eco,1107,2,4,2,5,5,2,1,5,5,5,4,4,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Business,395,1,2,2,2,1,1,1,1,4,5,4,1,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,34,Business travel,Business,1197,2,2,2,2,5,5,4,4,4,4,4,5,4,4,35,20.0,satisfied
Female,Loyal Customer,51,Personal Travel,Eco,764,2,4,2,4,4,2,1,3,3,2,3,5,3,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,36,Business travel,Eco,279,5,1,1,1,5,5,5,5,5,2,2,2,3,5,2,0.0,satisfied
Male,Loyal Customer,44,Personal Travel,Eco,353,2,4,3,2,4,3,4,4,5,5,5,4,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Business,406,5,5,5,5,5,4,5,4,4,4,4,4,4,4,9,4.0,satisfied
Male,Loyal Customer,35,Business travel,Eco Plus,153,1,5,5,5,1,2,1,1,1,2,4,3,4,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,40,Business travel,Business,695,4,4,4,3,2,4,1,2,1,4,5,5,4,2,0,4.0,neutral or dissatisfied
Female,Loyal Customer,10,Personal Travel,Eco,512,1,1,1,3,4,1,5,4,3,2,4,1,3,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,27,Business travel,Business,1075,4,4,4,5,4,4,4,4,5,4,3,5,2,4,28,28.0,satisfied
Male,Loyal Customer,80,Business travel,Business,2447,1,1,1,1,3,1,3,3,3,3,3,1,3,4,12,0.0,satisfied
Female,Loyal Customer,54,Business travel,Business,605,1,1,1,1,2,4,4,4,4,4,4,3,4,4,3,0.0,satisfied
Female,Loyal Customer,27,Business travel,Eco Plus,744,0,0,0,5,4,0,1,4,4,5,2,2,1,4,20,15.0,satisfied
Male,Loyal Customer,47,Business travel,Business,1855,1,1,5,1,3,3,5,4,4,5,4,5,4,3,0,0.0,satisfied
Male,Loyal Customer,51,Personal Travel,Eco,2300,2,4,2,4,5,2,5,5,4,3,3,5,5,5,1,0.0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Business,3235,4,4,4,4,5,4,4,3,3,4,3,4,3,3,0,0.0,satisfied
Female,Loyal Customer,23,Business travel,Business,1830,2,4,4,4,2,2,2,2,4,4,3,2,3,2,0,27.0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Eco,346,3,5,5,5,3,3,3,3,1,1,1,4,1,3,0,21.0,satisfied
Female,Loyal Customer,36,Business travel,Eco,311,2,2,2,2,2,2,2,2,3,1,2,1,3,2,0,0.0,satisfied
Female,Loyal Customer,36,Personal Travel,Eco,192,3,5,0,4,4,0,4,4,4,2,4,3,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,41,Business travel,Business,3422,5,2,5,5,4,4,4,3,3,4,4,4,3,5,0,0.0,satisfied
Female,Loyal Customer,20,Personal Travel,Eco,2227,3,3,3,3,3,3,3,3,1,2,4,1,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Eco,163,4,3,3,3,4,4,4,4,1,2,2,1,5,4,0,0.0,satisfied
Female,Loyal Customer,41,Personal Travel,Eco,391,3,3,3,3,5,3,5,5,4,3,1,2,2,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,34,Business travel,Business,3415,1,1,1,1,4,4,4,5,2,5,5,4,3,4,144,135.0,satisfied
Female,Loyal Customer,31,Personal Travel,Eco,844,4,2,4,2,4,4,4,4,3,5,2,4,2,4,40,17.0,neutral or dissatisfied
Female,Loyal Customer,27,Personal Travel,Eco,566,3,4,3,4,2,3,2,2,3,5,5,3,5,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,42,Personal Travel,Eco,287,3,3,3,4,2,3,2,2,2,2,5,2,2,2,26,23.0,neutral or dissatisfied
Female,disloyal Customer,38,Business travel,Eco,834,2,2,2,5,3,2,3,3,3,3,5,5,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Eco,421,3,2,2,2,3,3,3,3,3,3,3,1,3,1,0,5.0,neutral or dissatisfied
Female,Loyal Customer,23,Personal Travel,Eco Plus,196,4,5,0,3,1,0,1,1,3,5,5,4,5,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Eco,1235,1,5,5,5,1,1,1,1,3,4,3,3,4,1,0,7.0,neutral or dissatisfied
Male,Loyal Customer,58,Business travel,Business,1628,1,3,3,3,5,3,3,1,1,1,1,4,1,2,0,11.0,neutral or dissatisfied
Male,Loyal Customer,11,Business travel,Eco Plus,861,3,1,2,1,3,4,3,3,3,1,1,2,2,3,0,0.0,satisfied
Female,Loyal Customer,33,Personal Travel,Eco,802,3,3,2,3,2,2,2,2,1,2,4,4,3,2,0,5.0,neutral or dissatisfied
Male,Loyal Customer,25,Personal Travel,Eco,181,2,5,0,2,3,0,3,3,3,5,5,4,4,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,38,Business travel,Business,229,5,4,4,3,4,1,5,4,2,5,4,5,5,5,206,209.0,satisfied
Female,Loyal Customer,45,Personal Travel,Eco,843,3,5,3,2,2,3,4,4,4,3,4,4,4,2,25,17.0,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Business,3529,1,1,1,1,5,5,5,4,4,4,4,3,4,3,38,41.0,satisfied
Female,disloyal Customer,62,Business travel,Eco,1075,2,2,2,2,4,2,4,4,2,4,1,2,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,23,Business travel,Eco,1542,4,3,3,3,4,4,5,4,4,4,3,2,2,4,0,0.0,satisfied
Male,Loyal Customer,39,Personal Travel,Eco,239,2,4,2,3,4,2,5,4,1,2,4,3,5,4,5,13.0,neutral or dissatisfied
Female,Loyal Customer,28,Business travel,Business,667,2,3,2,2,2,1,2,2,4,2,3,3,2,2,0,0.0,neutral or dissatisfied
Male,disloyal Customer,27,Business travel,Business,228,5,5,5,4,4,5,5,4,5,2,5,5,2,4,0,2.0,satisfied
Female,Loyal Customer,49,Business travel,Business,644,3,3,3,3,3,5,5,5,5,5,5,3,5,5,26,12.0,satisfied
Male,disloyal Customer,26,Business travel,Business,226,5,2,5,3,1,5,1,1,4,5,5,3,4,1,0,2.0,satisfied
Female,Loyal Customer,7,Personal Travel,Eco,409,2,4,2,5,5,2,5,5,4,5,4,4,4,5,7,0.0,neutral or dissatisfied
Female,Loyal Customer,31,Personal Travel,Eco,370,2,4,2,4,3,2,3,3,4,5,4,4,3,3,8,16.0,neutral or dissatisfied
Female,disloyal Customer,31,Business travel,Eco,925,3,3,3,3,1,3,1,1,2,3,3,4,3,1,16,5.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,3042,1,1,1,1,3,5,5,5,5,5,5,5,5,3,0,3.0,satisfied
Female,Loyal Customer,47,Business travel,Business,2311,4,4,4,4,5,5,4,4,4,4,4,3,4,4,0,0.0,satisfied
Female,Loyal Customer,24,Business travel,Business,2419,1,5,5,5,1,1,1,1,3,1,2,2,4,1,13,0.0,neutral or dissatisfied
Male,disloyal Customer,17,Business travel,Eco,733,4,4,4,3,4,4,4,4,5,1,2,1,5,4,1,0.0,satisfied
Male,Loyal Customer,39,Business travel,Eco,338,2,3,5,3,2,2,2,2,4,1,2,1,2,2,11,54.0,neutral or dissatisfied
Male,Loyal Customer,45,Personal Travel,Eco,438,3,2,3,2,2,3,2,2,3,3,2,1,3,2,0,0.0,neutral or dissatisfied
Male,disloyal Customer,34,Business travel,Business,331,3,3,3,3,2,3,2,2,4,5,4,3,4,2,20,25.0,neutral or dissatisfied
Male,Loyal Customer,63,Personal Travel,Eco,651,2,1,1,2,3,1,3,3,2,1,2,3,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,10,Personal Travel,Eco,166,2,4,2,1,5,2,5,5,4,4,4,5,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Business,585,1,1,1,1,4,4,4,4,4,4,4,3,4,5,0,3.0,satisfied
Female,disloyal Customer,25,Business travel,Business,541,5,4,5,1,4,5,4,4,3,3,5,4,4,4,0,0.0,satisfied
Female,Loyal Customer,39,Business travel,Eco,451,3,5,4,5,3,3,3,3,4,3,4,4,3,3,48,39.0,neutral or dissatisfied
Female,Loyal Customer,58,Business travel,Business,1192,2,2,1,2,2,5,4,4,4,4,4,3,4,3,0,3.0,satisfied
Female,disloyal Customer,20,Business travel,Eco,570,1,3,1,3,4,1,4,4,2,5,4,3,4,4,67,57.0,neutral or dissatisfied
Female,Loyal Customer,28,Personal Travel,Eco,468,4,5,4,4,4,4,5,4,5,4,2,3,2,4,0,0.0,satisfied
Male,Loyal Customer,31,Business travel,Business,2528,2,3,3,3,2,2,2,2,1,4,4,4,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,2203,4,2,5,2,2,4,4,4,4,4,4,1,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,26,Business travel,Business,2595,3,3,3,3,4,4,4,4,5,4,5,3,5,4,5,0.0,satisfied
Male,Loyal Customer,33,Business travel,Business,2489,5,5,5,5,4,4,4,4,3,4,4,4,5,4,0,0.0,satisfied
Female,Loyal Customer,57,Business travel,Business,1883,4,4,4,4,3,5,4,3,3,4,3,5,3,3,0,5.0,satisfied
Female,Loyal Customer,39,Business travel,Business,2753,2,2,2,2,3,2,2,5,5,5,5,2,5,3,0,0.0,satisfied
Male,Loyal Customer,33,Business travel,Eco Plus,1431,2,2,2,2,2,2,2,2,4,3,2,1,2,2,28,19.0,neutral or dissatisfied
Male,Loyal Customer,37,Business travel,Business,1481,3,3,3,3,3,4,4,3,3,3,3,3,3,3,7,0.0,satisfied
Female,Loyal Customer,48,Business travel,Eco Plus,563,4,2,2,2,4,4,4,3,2,5,1,4,2,4,172,167.0,satisfied
Male,Loyal Customer,38,Business travel,Eco Plus,1249,4,4,4,4,4,5,4,4,5,1,3,4,4,4,0,12.0,satisfied
Male,Loyal Customer,44,Business travel,Business,1400,5,5,5,5,4,4,4,4,4,5,5,4,5,4,149,108.0,satisfied
Female,disloyal Customer,33,Business travel,Eco,189,3,4,2,4,3,2,1,3,3,3,3,4,3,3,4,10.0,neutral or dissatisfied
Male,Loyal Customer,42,Business travel,Business,3222,5,5,5,5,5,5,4,4,4,5,4,5,4,4,0,0.0,satisfied
Female,disloyal Customer,20,Business travel,Eco,873,4,4,4,3,1,4,1,1,1,3,3,2,3,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,34,Business travel,Eco,1214,2,2,2,4,5,2,5,5,2,3,3,4,4,5,5,11.0,neutral or dissatisfied
Male,disloyal Customer,39,Business travel,Business,236,1,1,1,4,4,1,4,4,5,3,5,5,5,4,63,60.0,neutral or dissatisfied
Female,Loyal Customer,18,Personal Travel,Eco,189,0,4,0,1,1,0,1,1,4,4,5,5,4,1,0,0.0,satisfied
Female,disloyal Customer,23,Business travel,Business,163,0,0,0,1,4,0,4,4,4,4,4,5,4,4,0,6.0,satisfied
Female,Loyal Customer,44,Business travel,Business,3586,0,4,0,3,2,4,4,5,5,5,5,5,5,5,0,0.0,satisfied
Male,Loyal Customer,33,Business travel,Business,2151,4,4,4,4,4,4,4,4,3,2,5,5,5,4,0,5.0,satisfied
Male,Loyal Customer,56,Business travel,Business,1488,4,4,4,4,2,4,4,4,4,4,4,4,4,3,73,91.0,satisfied
Male,Loyal Customer,26,Business travel,Eco,1773,3,4,4,4,3,3,2,3,4,5,3,3,3,3,7,14.0,neutral or dissatisfied
Female,Loyal Customer,70,Personal Travel,Eco,1598,2,4,2,1,3,5,5,3,3,2,5,3,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,60,Business travel,Eco,484,5,3,3,3,5,5,5,5,2,3,4,1,2,5,16,1.0,satisfied
Female,Loyal Customer,68,Business travel,Business,926,2,5,1,5,1,4,3,2,2,2,2,4,2,4,5,7.0,neutral or dissatisfied
Female,Loyal Customer,20,Business travel,Business,630,3,1,1,1,3,3,3,3,2,4,4,2,4,3,11,3.0,neutral or dissatisfied
Female,Loyal Customer,59,Business travel,Business,1865,4,4,4,4,2,3,4,4,4,4,4,5,4,4,0,2.0,satisfied
Male,disloyal Customer,16,Business travel,Eco,1009,1,1,1,3,4,1,3,4,3,2,4,1,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,37,Personal Travel,Eco Plus,463,4,5,4,3,2,4,2,2,5,2,4,4,5,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,32,Business travel,Business,1310,5,5,5,5,4,4,4,4,5,2,5,3,4,4,0,28.0,satisfied
Male,Loyal Customer,53,Business travel,Business,1444,2,2,2,2,4,5,4,5,5,5,5,5,5,5,0,0.0,satisfied
Female,Loyal Customer,55,Business travel,Business,2565,2,2,2,2,5,4,4,5,4,3,5,4,3,4,0,0.0,satisfied
Male,Loyal Customer,39,Business travel,Business,1763,1,1,1,1,2,5,4,4,4,4,4,4,4,3,0,1.0,satisfied
Female,Loyal Customer,30,Business travel,Business,2896,3,4,4,4,3,3,3,3,3,4,4,1,3,3,0,9.0,neutral or dissatisfied
Male,Loyal Customer,54,Business travel,Business,1670,4,4,4,4,4,5,5,4,4,4,4,3,4,3,0,0.0,satisfied
Male,Loyal Customer,54,Business travel,Eco,192,2,4,4,4,2,2,2,2,4,5,3,4,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,26,Business travel,Business,1005,5,5,5,5,5,5,5,5,1,1,3,5,1,5,14,0.0,satisfied
Female,Loyal Customer,9,Personal Travel,Business,602,2,4,2,1,2,2,2,2,5,3,4,4,5,2,7,2.0,neutral or dissatisfied
Male,Loyal Customer,37,Personal Travel,Eco,270,1,1,1,4,5,1,5,5,3,1,4,4,3,5,1,0.0,neutral or dissatisfied
Male,Loyal Customer,22,Personal Travel,Eco,89,2,4,2,1,4,2,4,4,3,5,4,5,5,4,30,38.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Eco,107,5,4,4,4,3,4,3,5,5,5,5,2,5,5,0,0.0,satisfied
Female,Loyal Customer,42,Business travel,Business,3112,2,1,2,2,3,4,5,3,3,3,3,4,3,4,0,0.0,satisfied
Male,Loyal Customer,35,Business travel,Business,3066,2,1,1,1,3,3,4,2,2,2,2,3,2,3,9,0.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Business,2753,1,1,1,1,2,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
Female,Loyal Customer,48,Business travel,Eco,628,1,1,1,1,2,3,2,1,1,1,1,1,1,3,80,70.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Business,2823,5,5,5,5,2,4,5,5,5,5,5,4,5,4,0,0.0,satisfied
Female,Loyal Customer,30,Business travel,Business,3292,5,5,5,5,4,4,4,4,3,2,2,2,1,4,4,0.0,satisfied
Male,Loyal Customer,48,Business travel,Business,175,4,5,4,4,4,4,4,5,5,5,5,3,5,3,11,6.0,satisfied
Female,Loyal Customer,55,Business travel,Business,3953,4,5,5,5,3,3,3,4,4,4,4,4,4,4,0,11.0,neutral or dissatisfied
Female,disloyal Customer,36,Business travel,Eco,308,4,0,4,4,1,4,1,1,3,4,4,5,1,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Business,3037,4,4,4,4,2,5,5,4,4,4,4,3,4,5,25,0.0,satisfied
Male,Loyal Customer,45,Personal Travel,Eco,809,1,5,1,3,1,1,1,1,2,5,4,3,1,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,18,Personal Travel,Eco,888,2,5,2,4,4,2,4,4,3,2,4,3,4,4,14,0.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,447,2,2,2,2,5,4,4,4,4,4,4,4,4,4,112,102.0,satisfied
Male,Loyal Customer,53,Business travel,Business,2305,3,5,5,5,3,4,3,3,3,3,3,3,3,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,30,Business travel,Business,599,1,1,1,1,5,4,5,5,5,4,5,3,5,5,14,7.0,satisfied
Male,Loyal Customer,43,Personal Travel,Eco,333,3,4,3,2,4,3,4,4,5,5,4,5,5,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,36,Business travel,Eco,204,3,0,3,4,2,3,2,2,1,3,3,3,1,2,0,0.0,neutral or dissatisfied
Female,disloyal Customer,26,Business travel,Eco,861,2,2,2,4,4,2,3,4,2,4,4,3,3,4,96,103.0,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Eco,222,5,0,5,1,3,5,3,3,3,3,5,5,5,3,0,7.0,satisfied
Male,Loyal Customer,37,Business travel,Business,3592,3,4,4,4,2,4,4,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,52,Personal Travel,Business,725,3,2,3,3,3,3,4,3,3,3,3,2,3,1,32,26.0,neutral or dissatisfied
Female,Loyal Customer,62,Personal Travel,Eco,821,2,2,2,4,3,3,4,4,4,2,5,4,4,4,4,13.0,neutral or dissatisfied
Female,disloyal Customer,24,Business travel,Eco,588,4,1,4,3,3,4,1,3,2,3,2,4,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,62,Business travel,Business,2521,2,5,5,5,5,3,2,2,2,2,2,3,2,2,0,0.0,neutral or dissatisfied
Male,disloyal Customer,35,Business travel,Business,201,1,1,1,5,3,1,3,3,5,4,4,5,5,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Business,213,3,4,3,4,3,3,3,3,3,2,3,1,4,3,32,32.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,2845,2,2,2,2,5,5,5,4,3,4,4,5,3,5,5,1.0,satisfied
Male,Loyal Customer,23,Personal Travel,Eco,187,2,5,2,3,2,2,2,2,5,3,5,3,4,2,23,14.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,3730,2,4,1,4,5,3,3,2,2,2,2,2,2,4,60,50.0,neutral or dissatisfied
Male,disloyal Customer,28,Business travel,Eco,817,2,2,2,2,5,2,5,5,5,5,1,5,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,45,Personal Travel,Eco Plus,581,4,5,4,4,3,4,3,3,4,2,5,3,4,3,24,26.0,neutral or dissatisfied
Female,Loyal Customer,35,Personal Travel,Eco,985,4,4,4,3,1,4,1,1,4,4,4,3,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,65,Personal Travel,Eco,473,5,5,5,3,1,5,1,1,4,4,5,3,2,1,0,0.0,satisfied
Male,Loyal Customer,31,Business travel,Business,899,1,2,2,2,1,1,1,3,1,4,4,1,3,1,239,236.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Eco,228,3,2,2,2,3,3,3,3,2,3,4,4,4,3,22,43.0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Eco,272,1,4,1,3,4,1,3,4,1,2,4,1,3,4,0,3.0,neutral or dissatisfied
Female,Loyal Customer,42,Business travel,Business,547,1,4,4,4,2,4,3,1,1,1,1,3,1,1,14,1.0,neutral or dissatisfied
Female,Loyal Customer,32,Personal Travel,Eco,767,4,4,4,4,1,4,1,1,3,5,5,3,5,1,0,0.0,neutral or dissatisfied
